keyword,expected_category,tfidf_pk,tfidf_mrr,tfidf_sim,tfidf_lat,tmpl_pk,tmpl_mrr,tmpl_lat,sem_pk,sem_mrr,sem_sim,sem_lat
cybersecurity,it,1.0,1.0,0.3262832806183512,2.1257999978843145,1.0,1.0,0.007899994670879096,,,,
machine learning,it,1.0,1.0,0.5177738392327218,1.335499997367151,1.0,1.0,0.005800000508315861,,,,
cloud computing,it,1.0,1.0,0.5129021833180594,1.353499996184837,1.0,1.0,0.009399998816661537,,,,
api development,it,1.0,1.0,0.42048819776873475,1.3857000012649223,1.0,1.0,0.005599998985417187,,,,
an toàn mạng,it,0.6,1.0,0.0,1.3707999969483353,1.0,1.0,0.009700001101009548,,,,
học máy,it,0.6,1.0,0.0,1.1808999988716096,1.0,1.0,0.006000002031214535,,,,
data science,it,1.0,1.0,0.48376209852827917,1.1986999961663969,1.0,1.0,0.005400004738476127,,,,
devops pipeline,it,0.6,1.0,0.0,1.1616999981924891,1.0,1.0,0.005199995939619839,,,,
investment portfolio,economics,1.0,1.0,0.34820836549752326,1.346400000329595,1.0,1.0,0.005299996701069176,,,,
risk assessment,economics,0.0,0.0,0.0,1.2015999964205548,1.0,1.0,0.005000001692678779,,,,
financial planning,economics,1.0,1.0,0.2098232471447608,1.1874000047100708,1.0,1.0,0.005100002454128116,,,,
đầu tư tài chính,economics,0.0,0.0,0.0,1.3553999961004592,1.0,1.0,0.005599998985417187,,,,
market analysis,economics,1.0,1.0,0.5729539553933333,1.2329999954090454,1.0,1.0,0.005099995178170502,,,,
cryptocurrency,economics,0.0,0.0,0.0,1.2100000021746382,1.0,1.0,0.005600006261374801,,,,
digital marketing,marketing,1.0,1.0,0.5848646498907615,1.2795000002370216,1.0,1.0,0.00549999822396785,,,,
customer retention,marketing,0.4,0.5,0.0,1.2676000042119995,1.0,1.0,0.004900000931229442,,,,
seo optimization,marketing,0.4,0.5,0.0,1.1546000023372471,1.0,1.0,0.005100002454128116,,,,
chiến lược marketing,marketing,1.0,1.0,0.29465861144635985,1.2905999974464066,1.0,1.0,0.005900001269765198,,,,
brand management,marketing,1.0,1.0,0.48924917995027795,1.3461999988066964,1.0,1.0,0.005599998985417187,,,,
social media campaign,marketing,1.0,1.0,0.5812036935740381,1.2888999990536831,1.0,1.0,0.005100002454128116,,,,
